officerId,name,oldMastery,newMastery,reason,reviewer,status
1,曹操,0 2 4 6 7 8,0 1 2 4 6,7偃月(防御)→1圆阵；8长蛇已由既有锋矢覆盖,待审,待审核
2,刘备,0 4 7 8,0 1 2 4,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种lightInfantry),待审,待审核
3,孙权,0 4 7 8,0 1 2 4,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种lightInfantry),待审,待审核
4,诸葛亮,0 2 4 6 7 8,0 1 2 4 6,7偃月(防御)→1圆阵；8长蛇已由既有锥形覆盖,待审,待审核
6,关羽,0 2 4 6 7 8,0 1 2 4 6,7偃月(防御)→1圆阵；8长蛇已由既有锋矢覆盖,待审,待审核
7,张飞,0 2 6 7,0 1 2 6,7偃月(防御)→1圆阵,待审,待审核
8,荀彧,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
9,夏侯惇,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
10,赵云,0 2 4 6 8,0 2 4 6,8长蛇已由既有锥形覆盖,待审,待审核
11,周瑜,0 4 7 8,0 1 2 4,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种lightInfantry),待审,待审核
12,司马懿,0 2 7 8,0 1 2,7偃月(防御)→1圆阵；8长蛇已由既有锥形覆盖,待审,待审核
13,典韦,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
15,陆逊,0 4 7 8,0 1 2 4,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种lightInfantry),待审,待审核
100,许褚,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
101,曹仁,0 4 7,0 1 4,7偃月(防御)→1圆阵,待审,待审核
102,李典,0 4 8,0 2 4,8长蛇→2锥形(主兵种lightInfantry),待审,待审核
103,吕虔,0 4 7,0 1 4,7偃月(防御)→1圆阵,待审,待审核
104,高顺,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
105,孙策,0 2 6 8,0 2 6,8长蛇已由既有锋矢覆盖,待审,待审核
107,甘宁,0 6 8,0 2 6,8长蛇→2锥形(主兵种lightInfantry),待审,待审核
108,徐盛,0 4 8,0 2 4,8长蛇→2锥形(主兵种lightInfantry),待审,待审核
109,周泰,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
115,张辽,0 2 4 6 7 8,0 1 2 4 6,7偃月(防御)→1圆阵；8长蛇已由既有锋矢覆盖,待审,待审核
116,徐晃,0 2 7 8,0 1 2,7偃月(防御)→1圆阵；8长蛇已由既有锥形覆盖,待审,待审核
117,张郃,0 2 6 7 8,0 1 2 6,7偃月(防御)→1圆阵；8长蛇已由既有锥形覆盖,待审,待审核
118,于禁,0 7 8,0 1 2,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种lightInfantry),待审,待审核
122,曹真,0 2 4 7 8,0 1 2 4,7偃月(防御)→1圆阵；8长蛇已由既有锥形覆盖,待审,待审核
123,荀攸,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
124,贾诩,0 7 8,0 1 2,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种lightInfantry),待审,待审核
125,郭嘉,0 4 8,0 2 4,8长蛇→2锥形(主兵种lightInfantry),待审,待审核
126,程昱,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
127,庞统,0 4 7 8,0 1 2 4,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种lightInfantry),待审,待审核
128,法正,0 4 7 8,0 1 2 4,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种lightInfantry),待审,待审核
129,姜维,0 2 4 6 7 8,0 1 2 4 6,7偃月(防御)→1圆阵；8长蛇已由既有锋矢覆盖,待审,待审核
130,魏延,0 2 4 6 7,0 1 2 4 6,7偃月(防御)→1圆阵,待审,待审核
132,马谡,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
133,王平,0 7 8,0 1 2,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种lightInfantry),待审,待审核
134,廖化,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
135,严颜,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
136,张翼,0 7 8,0 1 2,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种lightInfantry),待审,待审核
137,霍峻,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
138,蒋琬,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
139,费祎,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
140,邓芝,0 4 7,0 1 4,7偃月(防御)→1圆阵,待审,待审核
141,鲁肃,0 4 7 8,0 1 2 4,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种lightInfantry),待审,待审核
142,吕蒙,0 2 4 7 8,0 1 2 4,7偃月(防御)→1圆阵；8长蛇已由既有锥形覆盖,待审,待审核
143,程普,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
144,黄盖,0 4 7,0 1 4,7偃月(防御)→1圆阵,待审,待审核
145,韩当,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
147,凌统,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
148,丁奉,0 2 4 7,0 1 2 4,7偃月(防御)→1圆阵,待审,待审核
151,诸葛瑾,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
152,朱桓,0 2 4 7,0 1 2 4,7偃月(防御)→1圆阵,待审,待审核
153,陆抗,0 4 7 8,0 1 2 4,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种lightInfantry),待审,待审核
154,蒋钦,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
156,田丰,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
157,沮授,0 7 8,0 1 2,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种lightInfantry),待审,待审核
158,审配,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
161,高览,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
165,陈宫,0 4 7 8,0 1 2 4,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种lightInfantry),待审,待审核
167,刘表,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
168,蔡瑁,0 4 7,0 1 4,7偃月(防御)→1圆阵,待审,待审核
169,蒯越,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
170,黄祖,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
171,张任,0 2 4 7,0 1 2 4,7偃月(防御)→1圆阵,待审,待审核
174,韩遂,0 2 4 7,0 1 2 4,7偃月(防御)→1圆阵,待审,待审核
175,张鲁,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
179,张济,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
181,袁术,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
182,纪灵,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
187,士燮,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
189,曹休,0 2 4 7,0 1 2 4,7偃月(防御)→1圆阵,待审,待审核
190,夏侯尚,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
191,文聘,0 7 8,0 1 2,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种lightInfantry),待审,待审核
193,满宠,0 7 8,0 1 2,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种lightInfantry),待审,待审核
194,刘晔,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
196,徐庶,0 4 7,0 1 4,7偃月(防御)→1圆阵,待审,待审核
197,关平,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
199,李严,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
200,吴懿,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
201,向宠,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
202,潘璋,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
204,朱然,0 7 8,0 1 2,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种lightInfantry),待审,待审核
205,诸葛恪,0 4 7,0 1 4,7偃月(防御)→1圆阵,待审,待审核
206,步骘,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
207,司马师,0 2 7 8,0 1 2,7偃月(防御)→1圆阵；8长蛇已由既有锥形覆盖,待审,待审核
208,司马昭,0 2 4 7 8,0 1 2 4,7偃月(防御)→1圆阵；8长蛇已由既有锥形覆盖,待审,待审核
209,邓艾,0 2 4 6 7 8,0 1 2 4 6,7偃月(防御)→1圆阵；8长蛇已由既有锥形覆盖,待审,待审核
210,钟会,0 4 7 8,0 1 2 4,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种lightInfantry),待审,待审核
211,羊祜,0 4 7 8,0 1 2 4,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种lightInfantry),待审,待审核
212,杜预,0 4 7 8,0 1 2 4,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种siege),待审,待审核
213,王濬,0 4 7 8,0 1 2 4,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种lightInfantry),待审,待审核
215,诸葛诞,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
218,马忠,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
219,司马炎,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
221,曹昂,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
223,郝昭,0 7 8,0 1 2,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种siege),待审,待审核
224,郭淮,0 2 4 7 8,0 1 2 4,7偃月(防御)→1圆阵；8长蛇已由既有锥形覆盖,待审,待审核
225,孙礼,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
226,毌丘俭,0 2 4 7,0 1 2 4,7偃月(防御)→1圆阵,待审,待审核
227,王昶,0 7 8,0 1 2,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种lightInfantry),待审,待审核
228,陈泰,0 4 7 8,0 1 2 4,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种lightInfantry),待审,待审核
232,刘封,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
233,冯习,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
235,傅彤,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
236,程畿,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
237,陈到,0 2 7 8,0 1 2,7偃月(防御)→1圆阵；8长蛇已由既有锥形覆盖,待审,待审核
239,高翔,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
240,张嶷,0 2 7 8,0 1 2,7偃月(防御)→1圆阵；8长蛇已由既有锥形覆盖,待审,待审核
241,黄权,0 4 7 8,0 1 2 4,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种lightInfantry),待审,待审核
242,徐盛,0 4 7 8,0 1 2 4,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种lightInfantry),待审,待审核
243,贺齐,0 2 4 7,0 1 2 4,7偃月(防御)→1圆阵,待审,待审核
